Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
@BBC,Sun Apr 22 08:47:42 +0000 2018,RT @BBCSport: Paula Radcliffe thinks her record is under threat today from Mary Keitany and Tirunesh Dibaba. We'll soon see. They're off an…,-0.5267,0.0,0.866,0.134,97
@BBC,Sun Apr 22 08:40:21 +0000 2018,"RT @BBCEngland: 🏃‍♀️☀️🏃‍♂️ Running the #LondonMarathon today? 🏃‍♀️☀️🏃‍♂️

Here's what you need to know about running a marathon in the heat…",0.0,0.0,1.0,0.0,98
@BBC,Sun Apr 22 08:39:44 +0000 2018,"RT @BBCOne: Good luck to everyone running the #LondonMarathon today 🙌 

Tune in to live coverage 📺 @bbcone.
Follow live online with @bbcspo…",0.7096,0.237,0.763,0.0,99
@BBC,Sun Apr 22 08:03:06 +0000 2018,How do you put on a world class show when your theatre is surrounded by water? 🎭🎶🎟 https://t.co/SNmeBae451,0.0,0.0,1.0,0.0,100
@CBSNews,Fri Apr 27 00:39:27 +0000 2018,Kim Jong Un walks across border to meet South Korean president -- live updates https://t.co/G0D7Fdg7Ka https://t.co/siZl6zRjDT,0.0,0.0,1.0,0.0,1
@CBSNews,Fri Apr 27 00:36:54 +0000 2018,North Korean leader Kim Jong-un has crossed the demilitarized zone (DMZ) and is welcomed by South Korean President… https://t.co/rTzcPn1jLw,0.34,0.118,0.882,0.0,2
@CBSNews,Fri Apr 27 00:32:33 +0000 2018,WATCH: North Korean leader Kim Jong-un and South Korean President Moon Jae-in meet before historic summit. The lead… https://t.co/zzwHBB6Zk5,0.0,0.0,1.0,0.0,3
@CBSNews,Fri Apr 27 00:30:02 +0000 2018,Amazon plans to increase prices for its Prime subscription service to $119 from $99 per year https://t.co/Bs1o0zpjdB https://t.co/h2tqKZpzAj,0.4588,0.2,0.8,0.0,4
@CBSNews,Fri Apr 27 00:27:57 +0000 2018,"With the first pick in the 2018 #NFLDraft, the Cleveland Browns select Baker Mayfield https://t.co/TqpN75wRmA https://t.co/cEBtmsfFYD",0.0,0.0,1.0,0.0,5
@CBSNews,Fri Apr 27 00:23:01 +0000 2018,"DNA match on genealogy sites led to suspected ""Golden State Killer,"" police say https://t.co/0jUPMWq04f https://t.co/zKmu6SK6aM",-0.2263,0.0,0.881,0.119,6
@CBSNews,Fri Apr 27 00:15:02 +0000 2018,Charges dropped against teen accused of threatening school shooting in Vermont https://t.co/AAPzhIo6lj https://t.co/erbf3ixWIn,-0.7717,0.0,0.565,0.435,7
@CBSNews,Fri Apr 27 00:09:01 +0000 2018,Kanye West tweets texts with John Legend about support for Trump https://t.co/WUYGoFnbhg https://t.co/mJVanCIzIE,0.4019,0.184,0.816,0.0,8
@CBSNews,Fri Apr 27 00:06:30 +0000 2018,Watch: 2018 #NFLDraft live updates and analysis https://t.co/nMV7sHVlEb https://t.co/iX1TlKwpoo,0.0,0.0,1.0,0.0,9
@CBSNews,Fri Apr 27 00:00:32 +0000 2018,"WATCH: After their boat capsized, one man was able to swim ashore -- another was trapped underneath the boat for ne… https://t.co/6PBknzqCAo",-0.5267,0.0,0.861,0.139,10
@CBSNews,Fri Apr 27 00:00:02 +0000 2018,"Kentucky teen leaves school with stranger, texts for help https://t.co/rsRQV0S9aj https://t.co/zTGPeq77tL",0.4019,0.213,0.787,0.0,11
@CBSNews,Thu Apr 26 23:55:27 +0000 2018,"FBI gave ""derogatory information"" about Rob Porter to the White House in March 2017 https://t.co/7pzK0vwiKK https://t.co/p8AjAW7w1Q",-0.5574,0.0,0.806,0.194,12
@CBSNews,Thu Apr 26 23:45:01 +0000 2018,Nationwide manhunt continues for suspect accused of killing police officer in Maine https://t.co/2SOLvXP11E https://t.co/Rbze0BCRoX,-0.8316,0.0,0.556,0.444,13
@CBSNews,Thu Apr 26 23:30:03 +0000 2018,"Senate Ethics Committee ""severely admonished"" Sen. Bob Menendez, who faced a public corruption trial last year that… https://t.co/jg4UNjNA6x",-0.7096,0.0,0.718,0.282,14
@CBSNews,Thu Apr 26 23:25:01 +0000 2018,"Bill Cosby, once known as ""America's dad,"" convicted. The 80-year-old is facing up to 30 years behind bars for sexu… https://t.co/rjpN1V5ZzI",0.0,0.0,1.0,0.0,15
@CBSNews,Thu Apr 26 23:15:02 +0000 2018,"After 40 years, police have arrested the man they think committed at least 50 rapes and 12 murders. Tracy Smith has… https://t.co/SiAIK3wYii",-0.8885,0.066,0.568,0.366,16
@CBSNews,Thu Apr 26 23:07:00 +0000 2018,"RT @CBSEveningNews: “If I get a phone call, I might start crying immediately”

UCF star Shaquem Griffin is like hundreds dreaming of a spot…",-0.1531,0.106,0.763,0.131,17
@CBSNews,Thu Apr 26 23:01:01 +0000 2018,Starbucks CEO says incident in Philadelphia has not affected sales https://t.co/DtcN1Kx1u0 https://t.co/tHu24FIY26,0.1139,0.116,0.884,0.0,18
@CBSNews,Thu Apr 26 23:00:02 +0000 2018,"Kim Jong Un to become first North Korean leader in decades to set foot in the South; 
questions remain about whethe… https://t.co/JN9ViWfVTR",0.0,0.0,1.0,0.0,19
@CBSNews,Thu Apr 26 22:58:00 +0000 2018,"RT @CBSEveningNews: New video was released today from Monday's van attack in Toronto. 

It shows the Ryder van darting down a sidewalk. Som…",-0.4767,0.0,0.871,0.129,20
@CBSNews,Thu Apr 26 22:49:31 +0000 2018,"RT @CBSEveningNews: “He threatened to kill a lot of people in our school”

A teen who planned a school massacre but never carried it out, w…",-0.5927,0.0,0.812,0.188,21
@CBSNews,Thu Apr 26 22:48:32 +0000 2018,"RT @CBSEveningNews: Tonight, Kim Jong Un will become the first North Korean leader to set foot in the south since the fighting stopped 65 y…",-0.5267,0.0,0.839,0.161,22
@CBSNews,Thu Apr 26 22:48:03 +0000 2018,"RT @CBSEveningNews: We are learning more tonight about how detectives used D.N.A. evidence to track down Joseph DeAngelo, the suspect in th…",-0.296,0.0,0.905,0.095,23
@CBSNews,Thu Apr 26 22:45:02 +0000 2018,Parents of slain student Otto Warmbier sue North Korea over son's death https://t.co/c4ddYDsqZ8 https://t.co/ZFfDU3yqtq,-0.5994,0.0,0.769,0.231,24
@CBSNews,Thu Apr 26 22:43:08 +0000 2018,"RT @CBSEveningNews: The FBI has announced a $20,000 reward for information leading to the capture of John Williams, suspected of killing of…",-0.3818,0.132,0.643,0.225,25
@CBSNews,Thu Apr 26 22:40:01 +0000 2018,"RT @CBSEveningNews: “If I were the president I wouldn't want your help I would just get rid of you”

With his job on the line, EPA head Sco…",-0.357,0.0,0.869,0.131,26
@CBSNews,Thu Apr 26 22:40:00 +0000 2018,"RT @CBSEveningNews: What comes next following the Cosby conviction?

@rikkijklieman will break down the verdict https://t.co/Zvv4AwfUU4",0.1531,0.096,0.904,0.0,27
@CBSNews,Thu Apr 26 22:34:00 +0000 2018,"RT @CBSEveningNews: ""Justice was delayed, but it was not denied""

Once “America’s Dad”, comedian Bill Cosby faces up to 30 years in prison…",0.8052,0.299,0.652,0.05,28
@CBSNews,Thu Apr 26 22:30:50 +0000 2018,"Hilton the shark weighs 1,326 pounds and12.5 feet long. But what is possibly the most impressive thing about this c… https://t.co/7i67BpGr51",0.5563,0.152,0.848,0.0,29
@CBSNews,Thu Apr 26 22:15:33 +0000 2018,".@FLOTUS Melania Trump turns 48 today. Happy birthday, Melania!  https://t.co/7Li8mTIcpY https://t.co/O1e6VChpqD",0.6114,0.285,0.715,0.0,30
@CBSNews,Thu Apr 26 22:00:03 +0000 2018,"Within hours of his swearing in, Mike Pompeo was already off on his first trip as secretary of state… https://t.co/2fpZPGhwhF",-0.25,0.0,0.905,0.095,31
@CBSNews,Thu Apr 26 21:45:36 +0000 2018,A local bar's name is creating controversy in a small Wisconsin city. Some find the bar is promoting sexual assault… https://t.co/8489yp7V2s,0.5719,0.217,0.783,0.0,32
